Account          	 Category	 Date      	 Period	 ID           	 Manual	 Description	 Number	 Location	 Amount
9504 Rent Expense	 SG&A    	 01/02/2024	      1	 AUTOMATED    	 No    	 Rent       	   1048	 CS      	 "5,000.00"
9504 Rent Expense	 SG&A    	 01/02/2024	      1	 BeanCounter25	 Yes   	 Rent       	   1060	 ML      	 "1,000.00"
9504 Rent Expense	 SG&A    	 01/05/2024	      1	 AUTOMATED    	 No    	 Rent       	   1012	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 01/11/2024	      1	 Laura4       	 Yes   	 Rent       	   1008	 LA      	 50000
9504 Rent Expense	 SG&A    	 01/15/2024	      1	 BeanCounter25	 Yes   	 Rent       	   1024	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 01/25/2024	      1	 BeanCounter25	 Yes   	 Rent       	   1036	 SF      	 "20,000.00"
9504 Rent Expense	 SG&A    	 02/02/2024	      2	 AUTOMATED    	 No    	 Rent       	   1049	 CS      	 "5,000.00"
9504 Rent Expense	 SG&A    	 02/02/2024	      2	 AUTOMATED    	 No    	 Rent       	   1061	 ML      	 "1,000.00"
9504 Rent Expense	 SG&A    	 02/05/2024	      2	 AUTOMATED    	 No    	 Rent       	   1013	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 02/11/2024	      2	 AUTOMATED    	 No    	 Rent       	   1007	 LA      	 "50,000.00"
9504 Rent Expense	 SG&A    	 02/15/2024	      2	 AUTOMATED    	 No    	 Rent       	   1025	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 02/25/2024	      2	 AUTOMATED    	 No    	 Rent       	   1037	 SF      	 "20,000.00"
9504 Rent Expense	 SG&A    	 03/02/2024	      3	 AUTOMATED    	 No    	 Rent       	   1050	 CS      	 "5,000.00"
9504 Rent Expense	 SG&A    	 03/02/2024	      3	 AUTOMATED    	 No    	 Rent       	   1062	 ML      	 "1,000.00"
9504 Rent Expense	 SG&A    	 03/05/2024	      3	 AUTOMATED    	 No    	 Rent       	   1014	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 03/11/2024	      3	 AUTOMATED    	 No    	 Rent       	   1006	 LA      	 "50,000.00"
9504 Rent Expense	 SG&A    	 03/15/2024	      3	 AUTOMATED    	 No    	 Rent       	   1026	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 03/25/2024	      3	 Laura4       	 Yes   	 Rent       	   1038	 SF      	 20000
9504 Rent Expense	 SG&A    	 04/02/2024	      4	 AUTOMATED    	 No    	 Rent       	   1063	 ML      	 "1,000.00"
9504 Rent Expense	 SG&A    	 04/02/2024	      4	 Laura4       	 Yes   	 Rent       	   1051	 CS      	 5000
9504 Rent Expense	 SG&A    	 04/05/2024	      4	 Bob2         	 Yes   	 Rent       	   1015	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 04/11/2024	      4	 AUTOMATED    	 No    	 Rent       	   1005	 LA      	 "50,000.00"
9504 Rent Expense	 SG&A    	 04/15/2024	      4	 AUTOMATED    	 No    	 Rent       	   1027	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 04/25/2024	      4	 Karen15      	 Yes   	 Rent       	   1039	 SF      	 "20,000.00"
9504 Rent Expense	 SG&A    	 05/02/2024	      5	 Bob2         	 Yes   	 Rent       	   1052	 CS      	 "5,000.00"
9504 Rent Expense	 SG&A    	 05/02/2024	      5	 Laura4       	 Yes   	 Rent       	   1064	 ML      	 1000
9504 Rent Expense	 SG&A    	 05/05/2024	      5	 BeanCounter25	 Yes   	 Rent       	   1016	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 05/11/2024	      5	 BeanCounter25	 Yes   	 Rent       	   1004	 LA      	 "50,000.00"
9504 Rent Expense	 SG&A    	 05/15/2024	      5	 CFO2         	 Yes   	 Rent       	   1028	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 05/25/2024	      5	 BeanCounter25	 Yes   	 Rent       	   1040	 SF      	 "20,000.00"
9504 Rent Expense	 SG&A    	 06/02/2024	      6	 Bob2         	 Yes   	 Rent       	   1053	 CS      	 "5,000.00"
9504 Rent Expense	 SG&A    	 06/02/2024	      6	 Laura4       	 Yes   	 Rent       	   1065	 ML      	 1000
9504 Rent Expense	 SG&A    	 06/05/2024	      6	 Bob2         	 Yes   	 Rent       	   1017	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 06/11/2024	      6	 BeanCounter25	 Yes   	 Rent       	   1003	 LA      	 "50,000.00"
9504 Rent Expense	 SG&A    	 06/15/2024	      6	 AUTOMATED    	 No    	 Rent       	   1029	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 06/25/2024	      6	 Laura4       	 Yes   	 Rent       	   1041	 SF      	 20000
9504 Rent Expense	 SG&A    	 07/02/2024	      7	 AUTOMATED    	 No    	 Rent       	   1066	 ML      	 "1,000.00"
9504 Rent Expense	 SG&A    	 07/02/2024	      7	 Bob2         	 Yes   	 Rent       	   1054	 CS      	 "5,000.00"
9504 Rent Expense	 SG&A    	 07/05/2024	      7	 Karen15      	 Yes   	 Rent       	   1018	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 07/11/2024	      7	 BeanCounter25	 Yes   	 Rent       	   1002	 LA      	 "50,000.00"
9504 Rent Expense	 SG&A    	 07/15/2024	      7	 AUTOMATED    	 No    	 Rent       	   1030	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 07/25/2024	      7	 BeanCounter25	 Yes   	 Rent       	   1042	 SF      	 "20,000.00"
9504 Rent Expense	 SG&A    	 08/02/2024	      8	 AUTOMATED    	 No    	 Rent       	   1067	 ML      	 "1,000.00"
9504 Rent Expense	 SG&A    	 08/02/2024	      8	 Karen15      	 Yes   	 Rent       	   1055	 CS      	 "5,000.00"
9504 Rent Expense	 SG&A    	 08/05/2024	      8	 AUTOMATED    	 No    	 Rent       	   1019	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 08/11/2024	      8	 AUTOMATED    	 No    	 Rent       	   1001	 LA      	 "50,000.00"
9504 Rent Expense	 SG&A    	 08/15/2024	      8	 AUTOMATED    	 No    	 Rent       	   1031	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 08/25/2024	      8	 Karen15      	 Yes   	 Rent       	   1043	 SF      	 "20,000.00"
9504 Rent Expense	 SG&A    	 09/02/2024	      9	 AUTOMATED    	 No    	 Rent       	   1056	 CS      	 "5,000.00"
9504 Rent Expense	 SG&A    	 09/02/2024	      9	 AUTOMATED    	 No    	 Rent       	   1068	 ML      	 "1,000.00"
9504 Rent Expense	 SG&A    	 09/05/2024	      9	 AUTOMATED    	 No    	 Rent       	   1020	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 09/11/2024	      9	 Laura4       	 Yes   	 Rent       	   1000	 LA      	 50000
9504 Rent Expense	 SG&A    	 09/15/2024	      9	 AUTOMATED    	 No    	 Rent       	   1032	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 09/25/2024	      9	 AUTOMATED    	 No    	 Rent       	   1044	 SF      	 "20,000.00"
9504 Rent Expense	 SG&A    	 10/02/2024	     10	 AUTOMATED    	 No    	 Rent       	   1069	 ML      	 "1,000.00"
9504 Rent Expense	 SG&A    	 10/02/2024	     10	 BeanCounter25	 Yes   	 Rent       	   1057	 CS      	 "5,000.00"
9504 Rent Expense	 SG&A    	 10/05/2024	     10	 BeanCounter25	 Yes   	 Rent       	   1021	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 10/11/2024	     10	 AUTOMATED    	 No    	 Rent       	   1009	 LA      	 "50,000.00"
9504 Rent Expense	 SG&A    	 10/15/2024	     10	 Kayla        	 Yes   	 Rent       	   1033	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 10/25/2024	     10	 AUTOMATED    	 No    	 Rent       	   1045	 SF      	 "20,000.00"
9504 Rent Expense	 SG&A    	 11/02/2024	     11	 AUTOMATED    	 No    	 Rent       	   1070	 ML      	 "1,000.00"
9504 Rent Expense	 SG&A    	 11/02/2024	     11	 Karen15      	 Yes   	 Rent       	   1058	 CS      	 "5,000.00"
9504 Rent Expense	 SG&A    	 11/05/2024	     11	 Bob2         	 Yes   	 Rent       	   1022	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 11/11/2024	     11	 BeanCounter25	 Yes   	 Rent       	   1010	 LA      	 "50,000.00"
9504 Rent Expense	 SG&A    	 11/15/2024	     11	 BeanCounter25	 Yes   	 Rent       	   1034	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 11/25/2024	     11	 Bob2         	 Yes   	 Rent       	   1046	 SF      	 "20,000.00"
9504 Rent Expense	 SG&A    	 12/02/2024	     12	 AUTOMATED    	 No    	 Rent       	   1059	 CS      	 "5,000.00"
9504 Rent Expense	 SG&A    	 12/02/2024	     12	 Bob2         	 Yes   	 Rent       	   1071	 ML      	 "1,000.00"
9504 Rent Expense	 SG&A    	 12/05/2024	     12	 CFO2         	 Yes   	 Rent       	   1023	 SB      	 "15,000.00"
9504 Rent Expense	 SG&A    	 12/11/2024	     12	 AUTOMATED    	 No    	 Rent       	   1011	 LA      	 "50,000.00"
9504 Rent Expense	 SG&A    	 12/15/2024	     12	 CFO2         	 Yes   	 Rent       	   1035	 HO      	 "5,000.00"
9504 Rent Expense	 SG&A    	 12/25/2024	     12	 Laura4       	 Yes   	 Rent       	   1047	 SF      	 20000
